,ID,UID,year,Midterm,AreaAll,R_seats,D_seats,Other_seats,total_votes,R_majorseat_pct,D_majorseat_pct,R_votes,D_votes,Other_votes,winning_vote_margin,winner_party,R_totalvote_pct,D_totalvote_pct,Other_totalvote_pct,R_majorvote_pct,D_majorvote_pct,R_majorvote_pct_lag,D_majorvote_pct_lag,president_party,Pres_D,Pres_R,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,H_incumbent_party,H_inc_D,H_inc_R,US_Unemployment.Rate,US_UEP_Rate,US_CPI,GDP_Growth_Pct,X.x,STATENAME,DISTRICT,avg_rating,Close_E_D_N,LLS_R_N,LLS_D_N,LLS_D,Close_E_D,LLS_R,St_AVG_R,RepVotes,DemVotes,RepVotesMajorPercent,DemVotesMajorPercent,Incumbent_R,Incumbent_D,Open_seat,D_2012,D_2014,D_2016,D_2018,D_2020,MidtermE_D,PresE_D,X.y,st_cd_fips.y,male,female,X20_29,X30_44,X45_64,X65.,white,black,native.american,asian,pacific.islander,other,mixed,hispanic.or.latino
33,33,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,1,Arizona,1,4.1428571,1,0,0,1,0,0,0.1429,113594,122774,48.06,51.94,0,0,1,1,0,0,0,0,0,1,100,401,0.499788184,0.500211816,0.19619493,0.262566735,0.353985643,0.187252693,0.509157893,0.022260638,0.230736967,0.014413444,0.001972426,0.001051394,0.017525116,0.202882122
34,34,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,2,Arizona,2,3.1428571,1,0,0,1,0,0,0.8571,144884,147338,49.58,50.42,0,1,0,1,0,0,0,0,0,1,112,402,0.486405997,0.513594003,0.197743072,0.243258416,0.348569168,0.210429344,0.646838449,0.036197529,0.008832028,0.027236073,0.001738832,0.001405415,0.021102329,0.256649344
35,35,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,3,Arizona,9,3.3571429,1,0,0,1,0,0,0.6429,111630,121881,47.81,52.19,0,0,1,1,0,0,0,0,0,1,193,409,0.498487898,0.501512102,0.274788626,0.294856462,0.320742046,0.109612867,0.587742021,0.049900022,0.0240408,0.044899011,0.00271579,0.001612195,0.0231504,0.265939762
36,36,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,4,Arkansas,1,6.8571429,0,0,1,0,0,1,2.8571,138800,96601,58.96,41.04,1,0,0,1,0,0,0,0,0,1,205,501,0.48605494,0.51394506,0.176923493,0.263557844,0.363931427,0.195587236,0.769325396,0.182246517,0.003219009,0.004075304,0.00033812,0.000255651,0.012569531,0.027970471
37,37,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,5,Arkansas,4,6.7142857,0,0,1,0,0,1,2.7143,154149,95013,61.87,38.13,0,0,1,1,0,0,0,0,0,1,241,504,0.479939747,0.520060253,0.172511667,0.244601091,0.379313571,0.20357367,0.726552777,0.195902488,0.004720078,0.006081428,0.000199188,0.000450578,0.014538007,0.051555455
38,38,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,6,California,3,1.9285714,0,1,0,0,1,0,2.0714,107086,126882,45.77,54.23,0,1,0,1,0,0,0,0,0,1,277,603,0.499858386,0.500141614,0.23373369,0.274450341,0.350009976,0.141805993,0.507008946,0.059765514,0.007026041,0.102615534,0.004854977,0.003134082,0.040687504,0.274907402
39,39,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,7,California,7,3.8571429,1,0,0,1,0,0,0.1429,132050,141241,48.32,51.68,1,0,0,1,0,0,0,0,0,1,325,607,0.483596536,0.516403464,0.192706343,0.290368341,0.369170237,0.147755079,0.566584346,0.07339676,0.005198854,0.135733365,0.008298308,0.002698014,0.042105756,0.165984598
40,40,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,8,California,9,3.5,1,0,0,1,0,0,0.5,94704,118373,44.45,55.55,0,1,0,1,0,0,0,0,0,1,349,609,0.487424189,0.512575811,0.212553074,0.290788512,0.354161055,0.14249736,0.36854536,0.082986005,0.00429695,0.13276173,0.00395671,0.001855727,0.032898393,0.372699126
41,41,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,9,California,10,4.3571429,1,0,0,1,0,0,0.3571,110265,98934,52.71,47.29,1,0,0,1,0,0,0,0,0,1,361,610,0.487571261,0.512428739,0.214473628,0.300653398,0.350131109,0.134741865,0.463043271,0.030068688,0.005040169,0.063314719,0.006623856,0.001720408,0.027509439,0.40267945
42,42,33,2012,0,United State,234,200,0,121136773,0.539170507,0.460829493,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,8.065385161,229.59,2.2495,10,California,16,1.3571429,0,1,0,0,1,0,2.6429,62801,84649,42.59,57.41,0,1,0,1,0,0,0,0,0,1,433,616,0.487906631,0.512093369,0.254926064,0.307738892,0.310635779,0.126699266,0.251088573,0.056617189,0.004758153,0.090339498,0.002023566,0.001329609,0.015665217,0.578178193
